DateTime,CO(GT),PT08.S4(NO2),PT08.S5(O3),AQI
2004-03-10,1.97,1545.5,1096,374.44
2004-03-11,2.17,1522.83,885.25,331.71
2004-03-12,2.74,1627.29,1084.38,350.82
2004-03-13,2.61,1595.79,1245.92,387.11
2004-03-14,2.4,1602.38,1234.21,369.97
2004-03-15,3.39,1888.63,1439.08,308.08
2004-03-16,2.68,1726.63,1322.63,361.52
2004-03-17,2.97,1741.21,1405.88,338.18
2004-03-18,2.62,1702.83,1301,334.86
2004-03-19,2.87,1745.42,1095.79,398.73
2004-03-20,2.05,1609.08,1019,410.01
2004-03-21,1.94,1601.79,954.25,394.32
2004-03-22,2.08,1595.33,857.88,397.95
2004-03-23,1.95,1557,892.71,368.81
2004-03-24,2.03,1541.63,909.96,361.13
2004-03-25,1.9,1494.67,800.46,362.49
2004-03-26,1.88,1457.63,888.5,369.21
2004-03-27,1.8,1425.83,900.75,344.75
2004-03-28,1.56,1348.08,783.75,370.96
2004-03-29,1.47,1275.58,630.71,379.66
2004-03-30,2.14,1447,1003.92,362.15
2004-03-31,1.93,1513.54,904.25,385.05
2004-04-01,2.63,1644.38,1155.86,352.73
2004-04-02,2.71,1708.71,1197.38,340.33
2004-04-03,2.1,1659.13,1140.46,380.98
2004-04-04,2.1,1562.38,824.79,381.75
2004-04-05,2.26,1703.46,1069.96,401.47
2004-04-06,2.23,1663.79,941.21,361.13
2004-04-07,1.64,1470.25,685.46,387.49
2004-04-08,2.52,1598.61,1084.3,346.98
2004-04-09,2.3,1560,1151,377.92
2004-04-10,1.75,1467.83,872.63,369.49
2004-04-11,1.18,1265.67,631.71,341.28
2004-04-12,0.86,1217.79,462.58,378.93
2004-04-13,2.05,1542.21,941.96,374.17
2004-04-14,2.27,1582.08,1104.29,362.78
2004-04-15,3.15,1732.42,1351.67,360.41
2004-04-16,3.3,1793.08,1221.63,338.75
2004-04-17,2.23,1553.17,838.17,384.55
2004-04-18,2.1,1559.04,768.96,394.57
2004-04-19,2.1,1586.96,869.5,390.9
2004-04-20,2.1,1738.83,1088.83,350.48
2004-04-21,2.1,1725.08,1154.92,300.93
2004-04-22,2.1,1683.13,1139.42,363.84
2004-04-23,3.02,1801.71,1388.08,336.22
2004-04-24,2.03,1667.54,1119.21,411.28
2004-04-25,1.22,1267.29,514.21,367.13
2004-04-26,1.46,1367.54,650.75,360.86
2004-04-27,2.16,1581.38,953.42,364.54
2004-04-28,2.73,1783.92,1291.38,312.92
2004-04-29,3.02,1873.08,1364.88,308.54
2004-04-30,2.87,1916.96,1306.13,328.26
2004-05-01,2,1640.42,904.63,410.23
2004-05-02,1.57,1575.42,872.04,393.45
2004-05-03,2.11,1725.38,1029.71,330.26
2004-05-04,2.24,1795.88,929.96,351.82
2004-05-05,2.1,1737.63,871.13,357.89
2004-05-06,1.94,1607.54,795.5,407.53
2004-05-07,2.13,1601.04,814.42,389.34
2004-05-08,1.89,1505.42,767.17,386.19
2004-05-09,1.87,1519.58,813.71,386.06
2004-05-10,2.1,1747.54,1010.25,348.51
2004-05-11,2.71,1804.38,1202.13,322.11
2004-05-12,2.55,1799.42,1182.25,309.98
2004-05-13,2.33,1682.29,980.63,365.32
2004-05-14,2.39,1669.42,1157.33,361.96
2004-05-15,1.74,1497.83,975.5,362.62
2004-05-16,1.37,1442.71,773.58,378.93
2004-05-17,1.64,1394.71,798.54,354.29
2004-05-18,2.22,1647.58,1075.08,365.01
2004-05-19,2.3,1703.29,1076.58,390.78
2004-05-20,2.35,1724.58,1087.13,388.61
2004-05-21,2.2,1679.63,1108,366.69
2004-05-22,1.95,1706.63,1080.21,414.8
2004-05-23,1.28,1531.83,765.92,388.04
2004-05-24,1.09,1246.46,617.08,364.03
2004-05-25,1.64,1368.26,932.26,367.12
2004-05-26,2.18,1500.2,1149.8,363.23
2004-05-27,1.87,1615.79,1027.92,353.98
2004-05-28,1.65,1622.21,919,393.67
2004-05-29,0.83,1407.46,615.75,406.7
