Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI,Hour,Month
2004-03-10,1900-01-01 18:00:00,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,411.42105263157896,18,3
2004-03-10,1900-01-01 19:00:00,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,377.6691729323308,19,3
2004-03-10,1900-01-01 20:00:00,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,376.6766917293233,20,3
2004-03-10,1900-01-01 21:00:00,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,383.8721804511278,21,3
2004-03-10,1900-01-01 22:00:00,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,360.5488721804511,22,3
2004-03-10,1900-01-01 23:00:00,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,336.4812030075188,23,3
2004-03-11,1900-01-01 00:00:00,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,321.593984962406,0,3
2004-03-11,1900-01-01 01:00:00,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,321.593984962406,1,3
2004-03-11,1900-01-01 02:00:00,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,307.45112781954884,2,3
2004-03-11,1900-01-01 03:00:00,0.6,1010.0,1.7,561.0,114.57692307692308,1705.0,84.52380952380952,1235.0,501.0,10.3,60.2,0.7517,399.01980198019805,3,3
2004-03-11,1900-01-01 04:00:00,0.6875,1011.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,380.7227722772277,4,3
2004-03-11,1900-01-01 05:00:00,0.7,1066.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,373.2079207920792,5,3
2004-03-11,1900-01-01 06:00:00,0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,389.54455445544556,6,3
2004-03-11,1900-01-01 07:00:00,1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,323.0827067669173,7,3
2004-03-11,1900-01-01 08:00:00,2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,367.2481203007519,8,3
2004-03-11,1900-01-01 09:00:00,2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,383.62406015037595,9,3
2004-03-11,1900-01-01 10:00:00,1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,349.63157894736844,10,3
2004-03-11,1900-01-01 11:00:00,1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,328.7894736842105,11,3
2004-03-11,1900-01-01 12:00:00,1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,338.4661654135338,12,3
2004-03-11,1900-01-01 13:00:00,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,372.2105263157895,13,3
2004-03-11,1900-01-01 14:00:00,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,420.8496240601504,14,3
2004-03-11,1900-01-01 15:00:00,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,399.50375939849624,15,3
2004-03-11,1900-01-01 16:00:00,2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,385.609022556391,16,3
2004-03-11,1900-01-01 17:00:00,2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,418.1203007518797,17,3
2004-03-11,1900-01-01 18:00:00,4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,54.0,18,3
2004-03-11,1900-01-01 19:00:00,6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,75.0,19,3
2004-03-11,1900-01-01 20:00:00,6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,67.0,20,3
2004-03-11,1900-01-01 21:00:00,3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,415.14285714285717,21,3
2004-03-11,1900-01-01 22:00:00,1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,321.593984962406,22,3
2004-03-11,1900-01-01 23:00:00,1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,448.0,23,3
2004-03-12,1900-01-01 00:00:00,1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,332.01503759398497,0,3
2004-03-12,1900-01-01 01:00:00,1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,332.7593984962406,1,3
2004-03-12,1900-01-01 02:00:00,1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,314.3984962406015,2,3
2004-03-12,1900-01-01 03:00:00,0.8,889.0,1.9,574.0,114.57692307692308,1680.0,84.52380952380952,1187.0,512.0,7.0,62.3,0.6261,408.0,3,3
2004-03-12,1900-01-01 04:00:00,0.6875,831.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,360.7920792079208,4,3
2004-03-12,1900-01-01 05:00:00,0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,364.05940594059405,5,3
2004-03-12,1900-01-01 06:00:00,0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,394.44554455445547,6,3
2004-03-12,1900-01-01 07:00:00,1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,328.54135338345867,7,3
2004-03-12,1900-01-01 08:00:00,4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,463.03007518796994,8,3
2004-03-12,1900-01-01 09:00:00,3.447058823529412,1545.0,22.1,1353.0,356.0217391304348,767.0,138.27450980392157,2058.0,1588.0,9.2,56.2,0.6561,0.0,9,3
2004-03-12,1900-01-01 10:00:00,3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,416.38345864661653,10,3
2004-03-12,1900-01-01 11:00:00,2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,387.3458646616541,11,3
2004-03-12,1900-01-01 12:00:00,2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,372.2105263157895,12,3
2004-03-12,1900-01-01 13:00:00,2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,386.10526315789474,13,3
2004-03-12,1900-01-01 14:00:00,2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,403.4812030075188,14,3
2004-03-12,1900-01-01 15:00:00,2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,423.3308270676692,15,3
2004-03-12,1900-01-01 16:00:00,2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,402.7368421052632,16,3
2004-03-12,1900-01-01 17:00:00,2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,390.3233082706767,17,3
2004-03-12,1900-01-01 18:00:00,3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,465.5112781954887,18,3
2004-03-12,1900-01-01 19:00:00,3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,449.8796992481203,19,3
2004-03-12,1900-01-01 20:00:00,6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,72.0,20,3
2004-03-12,1900-01-01 21:00:00,4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,473.203007518797,21,3
2004-03-12,1900-01-01 22:00:00,3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,419.1127819548872,22,3
2004-03-12,1900-01-01 23:00:00,5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,60.0,23,3
2004-03-13,1900-01-01 00:00:00,2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,373.9473684210526,0,3
2004-03-13,1900-01-01 01:00:00,1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,353.8496240601504,1,3
2004-03-13,1900-01-01 02:00:00,1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,329.5338345864662,2,3
2004-03-13,1900-01-01 03:00:00,1.7,1172.0,5.4,783.0,114.57692307692308,1179.0,84.52380952380952,1380.0,996.0,7.8,67.5,0.7173,333.25563909774434,3,3
2004-03-13,1900-01-01 04:00:00,0.6875,1147.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,341.1954887218045,4,3
